Customer_ID,Visits,Stay_Time,Cart_Items,Purchase_Amount
1001,39,94.4,19,2019
1002,29,66.2,14,1439
1003,15,43.4,7,774
1004,43,107.3,21,2473
1005,8,20.9,6,537
1006,21,57.0,10,1090
1007,39,97.5,19,2039
1008,19,49.8,10,1049
1009,23,61.6,9,1162
1010,11,30.3,4,384
1011,11,28.9,5,701
1012,24,68.9,12,1501
1013,36,96.2,14,1931
1014,40,99.6,18,2037
1015,24,55.5,12,1271
1016,3,10.7,3,176
1017,22,56.1,10,1206
1018,2,13.5,0,187
1019,24,64.9,12,1273
1020,44,113.8,21,2397
1021,30,75.1,12,1531
1022,38,90.6,15,1768
1023,2,4.0,3,226
1024,21,54.9,11,1050
1025,33,73.9,15,1685
1026,12,36.2,7,659
1027,22,65.3,10,1163
1028,44,100.3,17,1974
1029,25,55.5,11,1272
1030,49,123.6,23,2630
1031,27,64.6,10,1224
1032,42,106.3,19,2207
1033,28,69.6,15,1341
1034,16,34.9,7,661
1035,15,43.9,7,772
1036,47,119.8,20,2463
1037,44,107.2,21,2296
1038,3,15.0,3,333
1039,37,90.0,14,1737
1040,7,11.3,6,562
1041,21,53.4,8,983
1042,9,24.3,5,384
1043,39,100.2,19,2165
1044,18,48.5,9,1004
1045,4,12.6,5,471
1046,25,64.9,12,1314
1047,14,32.1,6,571
1048,50,121.6,22,2489
1049,9,26.2,4,495
1050,26,66.2,12,1353
1051,2,9.1,4,0
1052,20,41.5,12,927
1053,28,67.5,15,1513
1054,47,127.0,21,2387
1055,7,20.3,2,74
1056,44,111.5,21,2277
1057,8,23.5,4,465
1058,47,128.5,22,2594
1059,35,97.5,17,1913
1060,14,27.1,6,446
1061,17,36.4,9,760
1062,36,81.9,15,1789
1063,50,121.3,22,2361
1064,40,100.3,16,2081
1065,4,11.2,1,284
1066,2,1.0,3,115
1067,6,5.7,2,85
1068,42,101.2,19,2173
1069,4,14.6,4,330
1070,29,78.0,14,1410
1071,18,53.5,7,1013
1072,26,64.8,13,1404
1073,44,114.1,17,2248
1074,34,90.0,16,1835
1075,10,22.5,8,575
1076,36,91.9,17,1995
1077,14,38.3,6,866
1078,31,73.0,15,1573
1079,48,128.2,21,2489
1080,15,37.3,9,720
1081,8,20.4,4,364
1082,14,30.3,6,709
1083,23,53.6,9,992
1084,40,89.0,20,1822
1085,21,52.8,11,1477
1086,16,52.5,6,754
1087,45,107.4,22,2504
1088,18,59.9,10,1137
1089,47,124.6,20,2386
1090,24,57.6,12,1164
1091,26,65.1,11,1354
1092,25,61.8,11,1092
1093,45,121.0,20,2168
1094,41,105.1,16,2142
1095,29,78.4,15,1535
1096,15,39.3,9,951
1097,45,111.9,19,2089
1098,1,4.1,0,0
1099,25,60.5,12,1433
1100,7,10.2,3,205
1101,9,26.6,5,350
1102,24,52.5,12,1338
1103,1,1.2,4,286
1104,44,107.8,18,2056
1105,8,23.2,4,436
1106,24,67.8,12,1242
1107,11,33.5,4,724
1108,17,45.9,10,946
1109,8,16.9,4,240
1110,35,86.6,18,1870
1111,35,85.9,15,1619
1112,33,80.1,17,1623
1113,5,10.5,4,262
1114,42,102.9,17,2007
1115,39,95.1,19,1858
1116,41,107.3,16,2145
1117,28,64.7,13,1429
1118,7,13.9,4,309
1119,9,14.6,3,219
1120,8,27.1,7,631
1121,12,26.0,7,717
1122,34,88.3,13,1719
1123,33,84.9,17,1889
1124,48,126.6,19,2326
1125,23,56.4,9,789
1126,24,55.3,10,1237
1127,37,84.7,18,1809
1128,35,73.6,17,1714
1129,44,110.8,18,2306
1130,40,103.9,16,2209
1131,22,57.4,8,983
1132,27,59.9,10,1181
1133,35,92.7,18,2059
1134,1,1.0,4,107
1135,35,83.0,15,1612
1136,37,88.9,17,1772
1137,47,117.9,19,2266
1138,14,27.6,7,623
1139,3,7.3,1,73
1140,1,4.6,0,0
1141,5,18.0,2,387
1142,26,65.9,11,1419
1143,14,28.3,6,757
1144,39,98.2,15,1805
1145,27,62.2,11,1326
1146,9,16.9,7,541
1147,15,30.7,10,761
1148,15,27.9,7,723
1149,26,62.2,10,1134
1150,42,110.6,17,2055
1151,13,43.8,6,657
1152,32,77.1,13,1464
1153,39,102.9,17,2025
1154,49,120.5,23,2638
1155,32,71.7,15,1500
1156,4,13.5,4,0
1157,30,76.2,14,1693
1158,37,101.6,15,1843
1159,23,49.8,11,918
1160,39,111.5,17,2116
1161,45,120.5,18,2223
1162,15,37.4,10,1128
1163,43,106.0,20,2219
1164,29,68.9,12,1352
1165,36,90.5,17,1759
1166,13,31.6,8,771
1167,32,82.6,16,1856
1168,7,16.0,5,448
1169,22,62.1,11,1155
1170,28,70.6,13,1486
1171,2,3.7,4,219
1172,42,110.1,16,2086
1173,45,104.4,19,2072
1174,6,16.7,5,387
1175,28,70.1,12,1339
1176,28,62.9,11,1344
1177,44,101.5,18,1990
1178,44,115.1,17,2099
1179,20,54.8,10,1013
1180,30,75.9,15,1630
1181,11,36.1,4,644
1182,28,72.2,12,1361
1183,25,68.7,13,1339
1184,39,99.6,17,2147
1185,33,81.1,16,1505
1186,1,1.0,0,61
1187,27,64.5,12,1442
1188,13,31.2,6,305
1189,41,109.3,18,2201
1190,3,11.3,3,0
1191,39,99.2,19,2070
1192,6,19.4,4,379
1193,8,22.6,5,604
1194,27,68.8,13,1447
1195,9,15.0,4,373
1196,37,98.2,17,1853
1197,33,80.2,16,1870
1198,42,110.4,16,2046
1199,44,115.9,20,2520
1200,24,56.6,13,1457
1201,15,42.2,10,779
1202,32,78.2,12,1412
1203,32,78.2,13,1420
1204,24,61.3,10,1180
1205,41,103.9,19,2120
1206,49,122.7,22,2485
1207,49,115.8,22,2485
1208,12,29.4,5,727
1209,39,108.9,17,2168
1210,2,1.0,4,135
1211,3,11.8,3,198
1212,49,127.8,21,2478
1213,37,85.7,15,1746
1214,49,120.2,21,2368
1215,17,37.5,6,585
1216,49,131.8,22,2639
1217,2,10.5,0,86
1218,2,10.8,4,266
1219,28,70.6,14,1471
1220,23,64.1,11,1239
1221,37,92.5,18,1882
1222,32,86.8,15,1588
1223,33,81.8,15,1644
1224,1,1.0,0,82
1225,19,56.6,10,1155
1226,2,4.9,2,243
1227,44,105.5,17,1958
1228,26,60.5,14,1227
1229,32,75.5,16,1601
1230,6,19.2,6,439
1231,32,79.5,16,1623
1232,4,21.5,2,369
1233,11,33.4,7,665
1234,17,43.8,9,805
1235,38,102.0,16,1888
1236,24,57.5,11,1219
1237,5,3.2,4,285
1238,34,80.1,17,1791
1239,6,15.7,2,321
1240,22,53.9,10,1079
1241,11,31.6,4,599
1242,48,119.4,22,2418
1243,16,43.7,6,806
1244,33,90.0,16,1706
1245,9,21.9,4,446
1246,6,17.8,3,386
1247,16,31.2,10,858
1248,29,71.9,13,1318
1249,3,1.3,5,250
1250,20,50.7,11,959
1251,36,91.2,18,1921
1252,19,48.7,7,828
1253,26,62.6,13,1506
1254,3,19.0,2,329
1255,19,41.2,9,979
1256,20,43.4,11,1226
1257,32,88.3,15,1652
1258,7,14.0,2,301
1259,41,97.8,18,1864
1260,33,94.0,14,1792
1261,40,104.9,19,2290
1262,39,94.5,18,1881
1263,18,46.1,7,779
1264,40,109.7,20,2207
1265,1,6.0,1,321
1266,11,33.9,6,754
1267,28,74.0,14,1427
1268,25,67.2,13,1536
1269,50,125.2,21,2281
1270,23,57.6,13,1489
1271,31,78.8,15,1706
1272,30,78.7,13,1705
1273,42,103.6,16,1798
1274,35,88.1,18,1884
1275,7,15.9,4,357
1276,16,40.6,9,791
1277,26,58.7,11,1070
1278,48,133.0,19,2502
1279,49,118.8,21,2430
1280,2,3.2,1,213
1281,1,1.0,1,6
1282,48,123.1,21,2407
1283,12,29.0,4,389
1284,5,7.7,2,336
1285,37,95.8,18,1966
1286,32,84.0,15,1754
1287,9,22.2,5,566
1288,41,99.2,18,2146
1289,35,98.5,16,1818
1290,19,49.2,7,975
