company,location,layoff_count,date,pct_workforce,industry,source_url,stage,raised_mm,country,is_ai_company
Panda Squad,SF Bay Area,6.0,2020-03-13,75%,Consumer,https://twitter.com/danielsing er/status/12385455710921605 14,Seed, $1.00 ,United States,False
HopSkipDrive,Los Angeles,8.0,2020-03-13,10%,Transportat…,https://layoffs.fyi/2020/04/02/ hopskipdrive-laid-off-10-of- team-due-to-school-closures/,Unknown, $45.00 ,United States,False
Help.com,Austin,16.0,2020-03-16,100%,Support,LinkedIn,Seed, $6.00 ,United States,False
Service,Los Angeles,,2020-03-16,100%,Travel,https://techcrunch.com/2020/ 03/16/travel-savings-tool- service-shuts-down-citing- covid-19-downturn/? utm_source=feedburner&utm _medium=feed&utm_campaig n=Feed%3A+techcrunch%2Fst artups+%28TechCrunch+%C2 %BB+Startups%29,Seed, $5.00 ,United States,False
Inspirato,Denver,130.0,2020-03-16,22%,Travel,https://businessden.com/2020 /03/16/inspirato-cuts-20-of- workforce/,Series C, $79.00 ,United States,False
Flytedesk,Boulder,4.0,2020-03-18,20%,Marketing,https://businessden.com/2020 /03/18/boulder-advertising- startup-flytedesk-lays-off- staff-amid-coronavirus/,Seed, $4.00 ,United States,False
Tuft & Needle,Phoenix,,2020-03-19,,Retail,https://www.theverge.com/20 20/3/19/21185840/tuft- needle-coronavirus-firing- retail-staff-closing-stores,Acquired, $0.00 ,United States,False
Popin,New York City,,2020-03-19,100%,Fitness,https://www.businessinsider.c om/fitness-app-popin-shut- down-email-to-users-2020-3? r=startups-layoff-lp,Unknown, $13.00 ,United States,False
Anyvision,Tel Aviv Non-U.S.,,2020-03-19,,Security,https://ipvm.com/reports/anyv ision-20-layoffs,Series A, $74.00 ,Israel,True
Lola,Boston,34.0,2020-03-19,,Travel,https://layoffs.fyi/2020/03/19/l ola-lays-off-34-employees- due-to-impact-of-the- coronavirus/,Series C, $81.00 ,United States,False
Remote Year,Chicago,50.0,2020-03-19,50%,Travel,https://techcrunch.com/2020/ 03/19/remote-year-which- helps-you-work-while- traveling-the-world-lays-off- 50-of-staff/,Series B, $17.00 ,United States,False
Ejento,SF Bay Area,84.0,2020-03-19,100%,Recruiting,https://layoffs.fyi/list/ejento/,Unknown,,United States,False
Bounce,Bengaluru Non-U.S.,120.0,2020-03-19,,Transportat…,https://www.cqai520.com/tech /scooter-rental-startup- bounce-lays-off-120- employees-amid-coronavirus- scare-report/#more-18179,Series D, $214.00 ,India,False
Flywheel Sports,New York City,784.0,2020-03-20,98%,Fitness,https://stayfit305.com/solidcor e-and-flywheel-announce- layoffs-as-a-result-of-covid- 19/,Acquired, $120.00 ,United States,False
Peek,Salt Lake City,45.0,2020-03-20,,Travel,https://layoffs.fyi/2020/04/06/ peek-conducted-a-mass- layoff/,Series B, $39.00 ,United States,False
Service,Los Angeles,,2020-03-20,100%,Travel,https://techcrunch.com/2020/ 03/16/travel-savings-tool- service-shuts-down-citing- covid-19-downturn/,Seed, $5.00 ,United States,False
Yonder,Austin,18.0,2020-03-20,,Media,https://www.americaninno.co m/austin/inno-news/austin- startup-yonder-lays-off-18- employees-citing-coronavirus- disruptions/,Series A, $16.00 ,United States,False
Vacasa,Portland,,2020-03-20,,Travel,https://www.bizjournals.com/p ortland/news/2020/03/20/vac asa-announces-large-scale- layoffs-slashes.html,Series C, $526.00 ,United States,False
