date,unemployment_rate,jolts_job_openings_k,initial_jobless_claims_k,information_sector_emp_k,computer_math_emp_k,financial_emp_k,openings_per_unemployed,tech_emp_yoy_pct,claims_4w_avg
2020-01-01,3.6,7124.0,,2901.0,4275.0,8833.0,1978.889,,
2020-01-04,3.6,7124.0,224000.0,2901.0,4275.0,8833.0,1978.889,,
2020-01-11,3.6,7124.0,207000.0,2901.0,4275.0,8833.0,1978.889,,
2020-01-18,3.6,7124.0,221000.0,2901.0,4275.0,8833.0,1978.889,,
2020-01-25,3.6,7124.0,210000.0,2901.0,4275.0,8833.0,1978.889,,215500.0
2020-02-01,3.5,6966.0,207000.0,2910.0,4378.0,8872.0,1990.286,,211250.0
2020-02-08,3.5,6966.0,202000.0,2910.0,4378.0,8872.0,1990.286,,210000.0
2020-02-15,3.5,6966.0,209000.0,2910.0,4378.0,8872.0,1990.286,,207000.0
2020-02-22,3.5,6966.0,218000.0,2910.0,4378.0,8872.0,1990.286,,209000.0
2020-02-29,3.5,6966.0,215000.0,2910.0,4378.0,8872.0,1990.286,,211000.0
2020-03-01,4.4,5894.0,215000.0,2902.0,5763.0,8855.0,1339.545,,214250.0
2020-03-07,4.4,5894.0,208000.0,2902.0,5763.0,8855.0,1339.545,,214000.0
2020-03-14,4.4,5894.0,273000.0,2902.0,5763.0,8855.0,1339.545,0.03,227750.0
2020-03-21,4.4,5894.0,2914000.0,2902.0,5763.0,8855.0,1339.545,0.03,902500.0
2020-03-28,4.4,5894.0,5946000.0,2902.0,5763.0,8855.0,1339.545,0.03,2335250.0
2020-04-01,14.8,4606.0,5946000.0,2643.0,10880.0,8592.0,311.216,-8.89,3769750.0
2020-04-04,14.8,4606.0,6137000.0,2643.0,10880.0,8592.0,311.216,-8.89,5235750.0
2020-04-11,14.8,4606.0,4869000.0,2643.0,10880.0,8592.0,311.216,-9.18,5724500.0
2020-04-18,14.8,4606.0,4201000.0,2643.0,10880.0,8592.0,311.216,-9.18,5288250.0
2020-04-25,14.8,4606.0,3446000.0,2643.0,10880.0,8592.0,311.216,-9.18,4663250.0
2020-05-01,13.2,5612.0,3446000.0,2609.0,10627.0,8607.0,425.152,-10.34,3990500.0
2020-05-02,13.2,5612.0,2796000.0,2609.0,10627.0,8607.0,425.152,-10.34,3472250.0
2020-05-09,13.2,5612.0,2335000.0,2609.0,10627.0,8607.0,425.152,-10.1,3005750.0
2020-05-16,13.2,5612.0,2176000.0,2609.0,10627.0,8607.0,425.152,-10.1,2688250.0
2020-05-23,13.2,5612.0,1921000.0,2609.0,10627.0,8607.0,425.152,-10.1,2307000.0
2020-05-30,13.2,5612.0,1639000.0,2609.0,10627.0,8607.0,425.152,-10.1,2017750.0
2020-06-01,11.0,6129.0,1639000.0,2622.0,9109.0,8622.0,557.182,-9.65,1843750.0
2020-06-06,11.0,6129.0,1575000.0,2622.0,9109.0,8622.0,557.182,-0.79,1693500.0
2020-06-13,11.0,6129.0,1473000.0,2622.0,9109.0,8622.0,557.182,-0.79,1581500.0
2020-06-20,11.0,6129.0,1467000.0,2622.0,9109.0,8622.0,557.182,-0.79,1538500.0
